Date ,type,distance,time,pace,calories,altitude,comments,race
29.01.15,Running,22.00 km,1:47:28,4:53,1622,-,"marathontraining +21 km, natte sneeuw",no
24.01.15,Running,14.03 km,1:02:42,4:28,1135,7 m,,no
21.01.15,Running,14.18 km,1:04:06,4:31,1111,40 m,,no
17.01.15,Running,17.10 km,1:17:01,4:30,1266,-,"van BN naar overschie gerend, maar gps deed het niet, zo'n 17 km. ",no
14.01.15,Running,9.60 km,42:44:00,4:27,712,6 m,-,no
01.01.15,Running,14.14 km,1:10:17,4:58,1182,78 m,"Terschelling nieuwjaarsdag, wind tegen over strand",no
24.12.14,Running,10.11 km,1:00:06,5:56,869,422 m,Klosters take 2,no
22.12.14,Running,10.13 km,1:06:20,6:32,899,434 m,Klosters!,no
11.12.14,Running,9.30 km,41:18:00,4:26,782,6 m,Nog spierpijn van bruggenloop icm voetbal,no
07.12.14,Running,2.13 km,11:47,5:31,180,7 m,Naar pub,no
07.12.14,Running,15.25 km,1:07:07,4:24,1283,75 m,Bruggenloop!,yes
22.11.14,Running,15.05 km,1:05:24,4:20,1268,13 m,Bruggenlooptraining/nsmb decline,yes
19.11.14,Running,15.61 km,1:11:10,4:33,1308,8 m,Post nsmb submission!,no
16.11.14,Running,5.44 km,24:12:00,4:27,457,-,Wederom richie-ergernis,no
11.11.14,Running,9.23 km,40:34:00,4:23,776,10 m,Opa 90,no
09.11.14,Running,6.44 km,32:34:00,5:03,539,10 m,Schoten rondje met Bell eerste helft,no
07.11.14,Running,7.54 km,32:57:00,4:22,635,42 m,Bergrace,yes
28.10.14,Running,12.76 km,1:00:07,4:42,1067,7 m,,no
22.10.14,Running,6.16 km,34:26:00,5:35,521,16 m,Rennen met steef,no
18.10.14,Running,10.07 km,44:59:00,4:27,846,6 m,"Warm en tikje brak, Friday evening beers at BN ",no
15.10.14,Running,5.39 km,28:44:00,5:19,453,-,Rustig rondje met Cleo ,no
11.10.14,Running,10.37 km,44:52:00,4:19,874,7 m,Weer beter na singelloopverkoudheid,no
05.10.14,Running,5.60 km,32:42:00,5:50,479,-,Singelloop breda,yes
28.09.14,Running,6.35 km,1:33:57,14:47,1037,-,Schijt aan dit rondje,no
24.09.14,Running,10.68 km,47:43:00,4:28,897,6 m,"De ochtend, nooit m'n sterkste kant",no
18.09.14,Running,5.41 km,23:56,4:25,455,-,Intervaltraining na Bbq met c en Rianda ,no
12.09.14,Running,4.17 km,22:22,5:21,351,-,Postkavlidaybrakheid eruit,no
09.09.14,Running,4.99 km,20:25,4:05,425,-,Zweth-delft fast #1,no
09.09.14,Running,5.11 km,30:56:00,6:02,441,-,Delft-Zweth slow #1,no
08.09.14,Running,4.56 km,18:49,4:07,388,-,1e test 5k,no
05.09.14,Running,10.06 km,47:08:00,4:40,842,7 m,1e keer post-fietsvakantie,no
03.08.14,Running,10.31 km,49:14:00,4:46,862,7 m,Warm! Zondagochtend vlak voor cleoretour,no
24.07.14,Running,5.33 km,23:51,4:28,447,-,Avond na voetbal en met schrijversblok,no
22.07.14,Running,10.19 km,50:58:00,4:59,852,6 m,"David eb cleofrustratie eruit, net terug uit Pisa ",no
16.07.14,Running,10.42 km,1:07:42,6:29,921,735 m,Ciocco run Rueda ,no
10.07.14,Running,10.51 km,50:49:00,4:50,878,7 m,Post lab trip 2014,no
06.07.14,Running,5.88 km,26:08:00,4:26,494,-,"Post-overwinning op Costa rica, zelfde rondje als vrijdag maar na 5 pint Guinness;)",no
04.07.14,Running,5.79 km,27:17:00,4:42,484,-,,no
09.06.14,Running,11.28 km,54:20:00,4:49,942,-,Warm!,no
04.06.14,Running,6.49 km,30:41:00,4:43,542,15 m,"Post-Berlijn, post soccer",no
18.05.14,Running,10.25 km,41:49:00,4:04,876,14 m,Leiden 10k heel warm,yes
14.05.14,Running,9.50 km,41:38:00,4:23,799,18 m,,no
01.05.14,Running,14.69 km,1:10:50,4:49,1227,16 m,,no
23.04.14,Running,8.88 km,42:52:00,4:49,742,9 m,Post drill,no
15.04.14,Running,9.79 km,41:44:00,4:15,829,9 m,,no
20.03.14,Running,8.46 km,43:40:00,5:09,708,5 m,Post drill to zweth,no
04.03.14,Running,13.71 km,1:06:28,4:50,1145,15 m,,no
16.01.14,Running,9.00 km,47:52:00,5:19,756,10 m,,no
12.01.14,Running,21.08 km,1:40:39,4:46,1762,84 m,Egmond II,yes
03.01.14,Running,15.00 km,1:20:11,5:20,1261,42 m,Terschelling,no
17.12.13,Running,8.95 km,50:06:00,5:35,758,10 m,,no
08.12.13,Running,5.77 km,30:39:00,5:18,484,11 m,,no
15.11.13,Running,8.84 km,39:58:00,4:31,742,-,,no
13.11.13,Running,6.29 km,41:52:00,6:39,562,133 m,,no
24.10.13,Running,11.69 km,55:18:00,4:43,977,-,Run to rid myself of Richard frustration!;),no
19.10.13,Running,10.14 km,47:21:00,4:40,848,9 m,,no
17.10.13,Running,9.85 km,48:09:00,4:53,823,-,,no
22.08.13,Running,9.42 km,40:35:00,4:18,795,6 m,,no
11.08.13,Running,21.19 km,1:35:57,4:31,1777,-,vooroeverloop 2e plaats,yes
05.08.13,Running,11.06 km,49:18:00,4:27,929,-,,no
01.08.13,Running,17.03 km,1:25:36,5:01,1424,261 m,,no
22.07.13,Running,4.26 km,17:44,4:09,362,-,,no
18.07.13,Running,9.96 km,42:35:00,4:16,842,-,,no
14.07.13,Running,18.98 km,1:37:18,5:07,1589,62 m,,no
11.07.13,Running,10.15 km,46:28:00,4:34,850,-,,no
13.06.13,Running,6.51 km,31:39:00,4:51,544,12 m,Drill,no
01.06.13,Running,9.71 km,41:09:00,4:14,822,9 m,,no
26.05.13,Running,5.62 km,26:22:00,4:41,470,43 m,Rondje strand haamstede,no
28.04.13,Running,15.02 km,4:59:00,19:54,2910,11 m,WTF,no
12.04.13,Running,5.67 km,23:52,4:12,481,11 m,,no
01.04.13,Running,7.62 km,40:26:00,5:18,640,12 m,,no
27.03.13,Running,11.99 km,58:24:00,4:52,1002,-,,no
14.03.13,Running,11.63 km,58:05:00,4:59,972,57 m,,no
07.03.13,Running,7.37 km,34:23:00,4:40,616,-,,no
04.02.13,Running,8.54 km,38:53:00,4:33,716,30 m,,no
02.02.13,Running,9.46 km,43:02:00,4:33,793,10 m,,no
13.01.13,Running,20.95 km,1:34:17,4:30,1757,132 m,,no
07.01.13,Running,16.93 km,1:23:18,4:55,1415,22 m,,no
06.12.12,Running,16.81 km,1:24:17,5:00,1405,21 m,,no
25.11.12,Running,12.33 km,1:01:42,5:00,1030,42 m,,no
22.11.12,Running,4.77 km,19:33,4:06,406,15 m,,no
18.11.12,Running,15.22 km,1:03:00,4:08,1295,160 m,,no
11.11.12,Running,16.76 km,1:22:13,4:54,1400,-,,no
01.11.12,Running,13.88 km,1:08:00,4:54,1159,14 m,,no
24.10.12,Running,9.46 km,42:01:00,4:26,795,17 m,,no
20.10.12,Running,8.13 km,36:47:00,4:31,681,22 m,,no
23.09.12,Running,16.43 km,1:16:43,4:40,1375,29 m,Damloop 2012,yes
03.09.12,Running,6.09 km,32:41:00,5:22,512,30 m,,no
28.08.12,Running,6.24 km,36:56:00,5:55,535,21 m,,no
27.05.12,Running,6.31 km,32:05:00,5:05,528,25 m,Whit Sunday,no
13.05.12,Running,5.85 km,27:49:00,4:45,489,19 m,Sunday morning!,no
29.04.12,Running,5.68 km,29:36:00,5:12,476,19 m,,no
16.03.12,Running,9.63 km,54:09:00,5:37,816,25 m,,no
14.03.12,Running,5.31 km,31:42:00,5:58,456,19 m,,no
Overall statistics,,1995.04 km,156:25:39,,144044,,,no
